eventid, userid, eventtime, type, diffgold, diffpower, difflevel
2361,246,2022-12-17 03:57:35,2,14586,0,0
2362,48,2022-12-17 03:57:45,2,12300,0,0
2363,39,2022-12-17 03:57:49,2,49386,0,0
2364,760,2022-12-17 03:58:39,3,0,0,1
2365,432,2022-12-17 03:59:28,3,0,0,2
2366,965,2022-12-17 03:59:58,2,31921,0,0
2367,828,2022-12-17 04:00:44,2,96292,0,0
2368,194,2022-12-17 04:01:01,1,-37562,69212,0
2369,147,2022-12-17 04:01:39,3,0,0,2
2370,46,2022-12-17 04:02:10,2,872,0,0
2371,227,2022-12-17 04:02:21,2,15126,0,0
2372,483,2022-12-17 04:02:54,1,-57425,65991,0
2373,294,2022-12-17 04:03:26,3,0,0,1
2374,796,2022-12-17 04:03:32,3,0,0,1
2375,31,2022-12-17 04:03:46,1,-26437,56632,0
2376,629,2022-12-17 04:04:10,2,33504,0,0
2377,81,2022-12-17 04:04:39,2,24410,0,0
2378,520,2022-12-17 04:05:23,1,-3043,68943,0
2379,434,2022-12-17 04:05:36,1,-62966,41181,0
2380,861,2022-12-17 04:06:17,1,-88957,35810,0
2381,54,2022-12-17 04:07:00,3,0,0,1
2382,22,2022-12-17 04:07:47,1,-45087,32792,0
2383,663,2022-12-17 04:08:20,3,0,0,1
2384,648,2022-12-17 04:09:02,1,-31388,98499,0
2385,150,2022-12-17 04:09:51,1,-51684,13150,0
2386,721,2022-12-17 04:09:54,3,0,0,1
2387,467,2022-12-17 04:10:26,2,34882,0,0
2388,316,2022-12-17 04:10:46,2,47058,0,0
2389,730,2022-12-17 04:11:32,1,-32258,35720,0
2390,899,2022-12-17 04:12:08,2,6405,0,0
2391,498,2022-12-17 04:12:54,3,0,0,2
2392,709,2022-12-17 04:13:22,2,90879,0,0
2393,196,2022-12-17 04:13:28,2,30190,0,0
2394,108,2022-12-17 04:13:55,2,59263,0,0
2395,851,2022-12-17 04:14:43,3,0,0,2
2396,976,2022-12-17 04:15:16,2,77481,0,0
2397,4,2022-12-17 04:15:53,3,0,0,2
2398,673,2022-12-17 04:16:16,1,-679,63278,0
2399,204,2022-12-17 04:17:02,3,0,0,1
2400,795,2022-12-17 04:17:21,3,0,0,2
2401,89,2022-12-17 04:17:48,1,-95526,3943,0
2402,538,2022-12-17 04:18:06,2,446,0,0
2403,982,2022-12-17 04:18:41,1,-82565,15514,0
2404,750,2022-12-17 04:19:27,2,48471,0,0
2405,448,2022-12-17 04:19:50,2,70670,0,0
2406,695,2022-12-17 04:20:31,1,-91704,61814,0
2407,491,2022-12-17 04:20:47,2,8064,0,0
2408,978,2022-12-17 04:21:29,3,0,0,1
2409,321,2022-12-17 04:21:34,1,-17183,79812,0
2410,185,2022-12-17 04:22:01,3,0,0,1
2411,644,2022-12-17 04:22:11,2,25448,0,0
2412,48,2022-12-17 04:22:43,2,6729,0,0
2413,220,2022-12-17 04:23:15,1,-68142,37036,0
2414,108,2022-12-17 04:23:34,1,-12586,58552,0
2415,799,2022-12-17 04:24:09,1,-90961,29419,0
2416,259,2022-12-17 04:24:18,3,0,0,2
2417,615,2022-12-17 04:24:56,2,18391,0,0
2418,44,2022-12-17 04:25:30,1,-60708,11023,0
2419,434,2022-12-17 04:25:32,1,-58825,90026,0
2420,254,2022-12-17 04:25:54,1,-7133,32762,0
2421,648,2022-12-17 04:26:27,3,0,0,2
2422,75,2022-12-17 04:26:38,2,59464,0,0
2423,522,2022-12-17 04:27:25,2,5299,0,0
2424,937,2022-12-17 04:27:35,2,43161,0,0
2425,253,2022-12-17 04:28:00,2,74616,0,0
2426,571,2022-12-17 04:28:34,3,0,0,2
2427,494,2022-12-17 04:28:59,1,-37324,93656,0
2428,933,2022-12-17 04:29:09,2,2186,0,0
2429,158,2022-12-17 04:29:55,2,81327,0,0
2430,110,2022-12-17 04:30:23,3,0,0,2
2431,667,2022-12-17 04:30:54,3,0,0,2
2432,29,2022-12-17 04:30:59,3,0,0,1
2433,803,2022-12-17 04:31:14,3,0,0,2
2434,337,2022-12-17 04:31:31,1,-13415,26026,0
2435,301,2022-12-17 04:32:00,2,77998,0,0
2436,349,2022-12-17 04:32:48,2,67977,0,0
2437,609,2022-12-17 04:33:20,1,-27674,62390,0
2438,270,2022-12-17 04:33:53,3,0,0,2
2439,725,2022-12-17 04:33:58,2,34311,0,0
2440,856,2022-12-17 04:34:17,2,65474,0,0
2441,832,2022-12-17 04:34:42,2,18572,0,0
2442,652,2022-12-17 04:35:12,2,38900,0,0
2443,255,2022-12-17 04:35:28,1,-6310,35311,0
2444,142,2022-12-17 04:35:41,1,-13837,4383,0
2445,206,2022-12-17 04:35:59,1,-35496,61106,0
2446,404,2022-12-17 04:36:21,1,-53626,54965,0
2447,392,2022-12-17 04:36:42,3,0,0,2
2448,268,2022-12-17 04:36:51,3,0,0,1
2449,219,2022-12-17 04:37:06,1,-43628,26752,0
2450,545,2022-12-17 04:37:40,1,-38783,46285,0
2451,91,2022-12-17 04:38:27,2,61269,0,0
2452,646,2022-12-17 04:39:05,1,-89991,74594,0
2453,847,2022-12-17 04:39:50,1,-15118,8062,0
2454,816,2022-12-17 04:40:26,3,0,0,2
2455,292,2022-12-17 04:41:08,3,0,0,1
2456,912,2022-12-17 04:41:36,2,47148,0,0
2457,780,2022-12-17 04:41:48,2,56270,0,0
2458,838,2022-12-17 04:42:14,1,-3058,17259,0
2459,316,2022-12-17 04:42:51,3,0,0,1
2460,683,2022-12-17 04:43:00,3,0,0,1
2461,571,2022-12-17 04:43:26,2,2845,0,0
2462,303,2022-12-17 04:44:15,1,-87891,51406,0
2463,99,2022-12-17 04:45:00,2,14776,0,0
2464,208,2022-12-17 04:45:14,3,0,0,1
2465,839,2022-12-17 04:45:53,2,68893,0,0
2466,71,2022-12-17 04:46:42,2,29655,0,0
2467,322,2022-12-17 04:47:04,2,54198,0,0
2468,16,2022-12-17 04:47:53,1,-22421,84660,0
2469,92,2022-12-17 04:48:38,3,0,0,2
2470,205,2022-12-17 04:48:53,3,0,0,2
2471,416,2022-12-17 04:49:00,1,-62232,99548,0
2472,937,2022-12-17 04:49:41,1,-91190,87914,0
2473,726,2022-12-17 04:50:18,1,-45863,85411,0
2474,126,2022-12-17 04:50:35,2,50356,0,0
2475,369,2022-12-17 04:50:58,1,-4379,43363,0
2476,694,2022-12-17 04:51:15,1,-25246,46548,0
2477,445,2022-12-17 04:51:51,2,98643,0,0
2478,712,2022-12-17 04:52:39,1,-30165,86128,0
2479,32,2022-12-17 04:53:08,3,0,0,2
2480,796,2022-12-17 04:53:58,2,20953,0,0
2481,682,2022-12-17 04:54:06,1,-64179,90011,0
2482,411,2022-12-17 04:54:21,1,-77175,39156,0
2483,443,2022-12-17 04:54:37,2,38400,0,0
2484,891,2022-12-17 04:54:51,2,22434,0,0
2485,532,2022-12-17 04:55:33,2,98499,0,0
2486,585,2022-12-17 04:55:41,3,0,0,2
2487,228,2022-12-17 04:55:45,3,0,0,2
2488,575,2022-12-17 04:56:29,3,0,0,2
2489,699,2022-12-17 04:57:09,3,0,0,1
2490,418,2022-12-17 04:57:52,3,0,0,1
2491,702,2022-12-17 04:57:54,3,0,0,1
2492,925,2022-12-17 04:58:32,1,-72217,80809,0
2493,913,2022-12-17 04:59:02,2,32095,0,0
2494,977,2022-12-17 04:59:25,2,55554,0,0
2495,508,2022-12-17 05:00:06,3,0,0,1
2496,133,2022-12-17 05:00:23,3,0,0,2
2497,172,2022-12-17 05:00:33,3,0,0,1
2498,645,2022-12-17 05:00:53,3,0,0,1
2499,122,2022-12-17 05:01:19,1,-47434,89383,0
2500,856,2022-12-17 05:01:47,3,0,0,1
2501,729,2022-12-17 05:02:12,2,61043,0,0
2502,617,2022-12-17 05:02:22,1,-21436,52803,0
2503,957,2022-12-17 05:02:33,2,47145,0,0
2504,158,2022-12-17 05:03:00,3,0,0,2
2505,110,2022-12-17 05:03:15,2,20698,0,0
2506,381,2022-12-17 05:03:53,2,10037,0,0
2507,686,2022-12-17 05:04:00,2,22039,0,0
2508,373,2022-12-17 05:04:30,2,1887,0,0
2509,862,2022-12-17 05:05:04,3,0,0,1
2510,68,2022-12-17 05:05:16,2,11353,0,0
2511,674,2022-12-17 05:05:21,3,0,0,2
2512,681,2022-12-17 05:05:27,1,-28963,63902,0
2513,681,2022-12-17 05:06:08,3,0,0,2
2514,501,2022-12-17 05:06:16,3,0,0,1
2515,25,2022-12-17 05:06:55,3,0,0,1
2516,461,2022-12-17 05:07:29,3,0,0,1
2517,930,2022-12-17 05:08:14,2,87724,0,0
2518,700,2022-12-17 05:08:22,3,0,0,2
2519,700,2022-12-17 05:08:48,2,68529,0,0
2520,228,2022-12-17 05:09:33,2,11715,0,0
2521,916,2022-12-17 05:10:06,2,69180,0,0
2522,378,2022-12-17 05:10:16,1,-11704,88878,0
2523,280,2022-12-17 05:10:49,2,97089,0,0
2524,862,2022-12-17 05:11:14,3,0,0,2
2525,119,2022-12-17 05:11:44,1,-77582,12183,0
2526,507,2022-12-17 05:12:17,3,0,0,2
2527,633,2022-12-17 05:13:01,2,78101,0,0
2528,224,2022-12-17 05:13:34,1,-75292,747,0
2529,521,2022-12-17 05:13:42,2,4229,0,0
2530,991,2022-12-17 05:14:05,3,0,0,2
2531,654,2022-12-17 05:14:21,2,46184,0,0
2532,297,2022-12-17 05:14:59,1,-53862,91255,0
2533,506,2022-12-17 05:15:32,3,0,0,1
2534,604,2022-12-17 05:15:57,3,0,0,1
2535,565,2022-12-17 05:16:27,3,0,0,2
2536,552,2022-12-17 05:16:38,2,54974,0,0
2537,469,2022-12-17 05:17:03,2,44291,0,0
2538,102,2022-12-17 05:17:09,1,-45463,75758,0
2539,523,2022-12-17 05:17:34,1,-4717,41366,0
2540,910,2022-12-17 05:17:40,2,193,0,0
2541,65,2022-12-17 05:18:06,2,57026,0,0
2542,819,2022-12-17 05:18:35,1,-75152,77042,0
2543,370,2022-12-17 05:19:22,3,0,0,1
2544,964,2022-12-17 05:19:41,2,37842,0,0
2545,285,2022-12-17 05:20:19,3,0,0,1
2546,869,2022-12-17 05:20:35,2,61875,0,0
2547,759,2022-12-17 05:20:52,2,24463,0,0
2548,704,2022-12-17 05:21:24,3,0,0,1
2549,747,2022-12-17 05:21:34,1,-73222,78318,0
2550,691,2022-12-17 05:22:01,1,-15219,65080,0
2551,498,2022-12-17 05:22:28,3,0,0,2
2552,56,2022-12-17 05:23:12,1,-18269,79957,0
2553,881,2022-12-17 05:23:40,1,-25065,25709,0
2554,737,2022-12-17 05:23:45,2,74391,0,0
2555,391,2022-12-17 05:23:51,1,-21365,51253,0
2556,472,2022-12-17 05:24:07,2,49226,0,0
2557,817,2022-12-17 05:24:39,1,-59590,49396,0
2558,792,2022-12-17 05:25:17,1,-7286,80621,0
2559,318,2022-12-17 05:25:29,1,-65053,7470,0
2560,946,2022-12-17 05:25:41,1,-1746,53426,0
2561,616,2022-12-17 05:26:21,3,0,0,2
2562,946,2022-12-17 05:26:38,1,-27732,78802,0
2563,493,2022-12-17 05:26:57,3,0,0,2
2564,637,2022-12-17 05:27:21,1,-46572,47091,0
2565,82,2022-12-17 05:27:25,2,57911,0,0
2566,43,2022-12-17 05:28:14,1,-93837,95969,0
2567,489,2022-12-17 05:28:38,3,0,0,2
2568,743,2022-12-17 05:28:56,3,0,0,1
2569,211,2022-12-17 05:29:07,2,48032,0,0
2570,963,2022-12-17 05:29:45,2,34280,0,0
2571,951,2022-12-17 05:30:28,2,42704,0,0
2572,619,2022-12-17 05:30:56,3,0,0,1
2573,222,2022-12-17 05:31:00,3,0,0,2
2574,501,2022-12-17 05:31:30,2,74038,0,0
2575,4,2022-12-17 05:31:57,2,31999,0,0
2576,786,2022-12-17 05:32:13,3,0,0,2
2577,680,2022-12-17 05:33:01,1,-6954,66744,0
2578,252,2022-12-17 05:33:35,3,0,0,1
2579,573,2022-12-17 05:34:24,1,-3146,31181,0
2580,974,2022-12-17 05:34:43,3,0,0,1
2581,99,2022-12-17 05:35:02,1,-26657,5414,0
2582,732,2022-12-17 05:35:33,1,-40447,47906,0
2583,924,2022-12-17 05:35:45,3,0,0,2
2584,865,2022-12-17 05:36:17,3,0,0,1
2585,61,2022-12-17 05:36:44,2,20970,0,0
2586,480,2022-12-17 05:37:22,3,0,0,1
2587,259,2022-12-17 05:37:31,2,22303,0,0
2588,781,2022-12-17 05:38:05,3,0,0,1
2589,206,2022-12-17 05:38:09,1,-69830,72559,0
2590,398,2022-12-17 05:38:34,3,0,0,2
2591,56,2022-12-17 05:39:17,2,34618,0,0
2592,622,2022-12-17 05:40:00,2,1393,0,0
2593,696,2022-12-17 05:40:50,3,0,0,2
2594,178,2022-12-17 05:41:09,3,0,0,2
2595,246,2022-12-17 05:41:18,3,0,0,2
2596,766,2022-12-17 05:41:52,1,-30205,26340,0
2597,687,2022-12-17 05:42:16,2,54142,0,0
2598,551,2022-12-17 05:42:49,3,0,0,1
2599,504,2022-12-17 05:43:28,3,0,0,1
2600,839,2022-12-17 05:43:32,1,-38410,18646,0
2601,278,2022-12-17 05:43:51,1,-58235,80826,0
2602,715,2022-12-17 05:44:28,2,38331,0,0
2603,286,2022-12-17 05:44:31,3,0,0,2
2604,51,2022-12-17 05:45:17,3,0,0,2
2605,865,2022-12-17 05:46:05,1,-97162,47185,0
2606,783,2022-12-17 05:46:44,2,89887,0,0
2607,74,2022-12-17 05:47:10,2,73448,0,0
2608,511,2022-12-17 05:47:55,3,0,0,2
2609,692,2022-12-17 05:48:32,2,87118,0,0
2610,790,2022-12-17 05:49:01,2,63239,0,0
2611,887,2022-12-17 05:49:31,1,-422,26369,0
2612,747,2022-12-17 05:49:38,3,0,0,2
2613,229,2022-12-17 05:50:12,3,0,0,2
2614,375,2022-12-17 05:50:29,1,-18575,28398,0
2615,118,2022-12-17 05:50:39,2,66685,0,0
2616,538,2022-12-17 05:50:48,1,-65538,2784,0
2617,746,2022-12-17 05:51:05,2,64996,0,0
2618,313,2022-12-17 05:51:12,3,0,0,2
2619,204,2022-12-17 05:51:19,1,-70528,96877,0
2620,150,2022-12-17 05:51:30,2,3407,0,0
2621,13,2022-12-17 05:52:20,3,0,0,1
2622,671,2022-12-17 05:52:51,1,-68730,18208,0
2623,795,2022-12-17 05:53:12,1,-28816,13501,0
2624,782,2022-12-17 05:53:58,2,2189,0,0
2625,963,2022-12-17 05:54:08,2,86354,0,0
2626,169,2022-12-17 05:54:23,3,0,0,2
2627,471,2022-12-17 05:54:54,3,0,0,2
2628,195,2022-12-17 05:55:06,2,60789,0,0
2629,631,2022-12-17 05:55:31,3,0,0,2
2630,425,2022-12-17 05:56:02,3,0,0,2
2631,341,2022-12-17 05:56:45,1,-93159,69795,0
2632,409,2022-12-17 05:57:30,2,36536,0,0
2633,621,2022-12-17 05:58:17,3,0,0,1
2634,848,2022-12-17 05:58:54,2,69919,0,0
2635,885,2022-12-17 05:59:04,1,-90158,42183,0
2636,226,2022-12-17 05:59:38,2,51612,0,0
2637,21,2022-12-17 06:00:24,1,-76620,74995,0
2638,983,2022-12-17 06:00:42,3,0,0,1
2639,187,2022-12-17 06:01:12,1,-54545,90172,0
2640,866,2022-12-17 06:01:21,1,-75208,56617,0
2641,294,2022-12-17 06:01:50,1,-2026,79244,0
2642,999,2022-12-17 06:02:25,1,-26626,8145,0
2643,479,2022-12-17 06:03:04,1,-16119,60909,0
2644,739,2022-12-17 06:03:24,1,-27165,72349,0
2645,462,2022-12-17 06:03:35,3,0,0,1
2646,176,2022-12-17 06:03:51,2,86137,0,0
2647,843,2022-12-17 06:04:32,1,-14767,66769,0
2648,556,2022-12-17 06:05:00,1,-86344,20551,0
2649,392,2022-12-17 06:05:12,1,-86373,12346,0
2650,167,2022-12-17 06:05:40,1,-86217,83311,0
2651,675,2022-12-17 06:05:42,3,0,0,1
2652,268,2022-12-17 06:06:02,3,0,0,1
2653,319,2022-12-17 06:06:10,1,-24936,28278,0
2654,88,2022-12-17 06:06:22,2,85930,0,0
2655,599,2022-12-17 06:07:09,2,76459,0,0
2656,431,2022-12-17 06:07:30,3,0,0,2
2657,236,2022-12-17 06:08:13,2,96599,0,0
2658,854,2022-12-17 06:08:24,1,-35905,25670,0
2659,658,2022-12-17 06:08:43,1,-9437,9124,0
2660,981,2022-12-17 06:09:03,3,0,0,2
2661,399,2022-12-17 06:09:22,1,-43591,76907,0
2662,755,2022-12-17 06:09:57,3,0,0,1
2663,767,2022-12-17 06:10:46,2,7480,0,0
2664,251,2022-12-17 06:11:00,3,0,0,2
2665,522,2022-12-17 06:11:13,2,62133,0,0
2666,552,2022-12-17 06:11:41,3,0,0,1
2667,33,2022-12-17 06:11:43,1,-70746,55042,0
2668,555,2022-12-17 06:11:57,3,0,0,1
2669,966,2022-12-17 06:12:03,1,-29323,41275,0
2670,537,2022-12-17 06:12:33,3,0,0,1
2671,846,2022-12-17 06:13:22,2,17545,0,0
2672,593,2022-12-17 06:13:54,1,-48009,29959,0
2673,304,2022-12-17 06:14:20,3,0,0,1
2674,79,2022-12-17 06:14:47,2,94135,0,0
2675,83,2022-12-17 06:15:17,3,0,0,1
2676,128,2022-12-17 06:15:25,1,-13704,88387,0
2677,738,2022-12-17 06:15:37,2,91702,0,0
2678,545,2022-12-17 06:16:08,3,0,0,2
2679,758,2022-12-17 06:16:51,2,19203,0,0
2680,670,2022-12-17 06:17:18,2,69666,0,0
2681,713,2022-12-17 06:18:07,1,-96795,81728,0
2682,915,2022-12-17 06:18:13,2,2546,0,0
2683,510,2022-12-17 06:18:44,1,-70979,10003,0
2684,872,2022-12-17 06:19:22,2,27299,0,0
2685,77,2022-12-17 06:19:35,3,0,0,1
2686,253,2022-12-17 06:19:51,2,79735,0,0
2687,851,2022-12-17 06:19:54,2,37479,0,0
2688,961,2022-12-17 06:20:32,2,80291,0,0
2689,324,2022-12-17 06:20:49,2,82220,0,0
2690,486,2022-12-17 06:21:36,3,0,0,2
2691,694,2022-12-17 06:21:46,3,0,0,2
2692,198,2022-12-17 06:21:49,3,0,0,2
2693,457,2022-12-17 06:22:35,1,-5101,2082,0
2694,8,2022-12-17 06:23:18,2,83773,0,0
2695,249,2022-12-17 06:24:06,3,0,0,2
2696,470,2022-12-17 06:24:19,1,-86392,57451,0
2697,971,2022-12-17 06:24:52,2,92201,0,0
2698,900,2022-12-17 06:24:58,1,-77599,73550,0
2699,876,2022-12-17 06:25:47,2,30841,0,0
2700,119,2022-12-17 06:26:17,1,-94122,22900,0
2701,90,2022-12-17 06:26:31,1,-87854,66774,0
2702,502,2022-12-17 06:27:06,3,0,0,2
2703,78,2022-12-17 06:27:41,2,34335,0,0
2704,55,2022-12-17 06:27:50,1,-76225,86866,0
2705,647,2022-12-17 06:28:03,2,56565,0,0
2706,771,2022-12-17 06:28:28,2,81094,0,0
2707,699,2022-12-17 06:29:01,3,0,0,2
2708,349,2022-12-17 06:29:32,3,0,0,2
2709,74,2022-12-17 06:29:35,3,0,0,1
2710,980,2022-12-17 06:29:40,1,-92260,64727,0
2711,318,2022-12-17 06:30:15,3,0,0,1
2712,962,2022-12-17 06:30:34,1,-47434,91911,0
2713,541,2022-12-17 06:31:03,2,10748,0,0
2714,955,2022-12-17 06:31:37,2,44757,0,0
2715,361,2022-12-17 06:32:24,3,0,0,2
2716,206,2022-12-17 06:32:58,2,51952,0,0
2717,729,2022-12-17 06:33:18,1,-33640,81286,0
2718,38,2022-12-17 06:33:39,1,-22888,90962,0
2719,923,2022-12-17 06:34:25,2,39515,0,0
2720,187,2022-12-17 06:34:41,2,36882,0,0
2721,201,2022-12-17 06:35:16,3,0,0,1
2722,389,2022-12-17 06:35:45,3,0,0,2
2723,440,2022-12-17 06:35:52,3,0,0,1
2724,484,2022-12-17 06:36:14,2,79807,0,0
2725,878,2022-12-17 06:36:42,2,3245,0,0
2726,242,2022-12-17 06:37:10,1,-49881,79848,0
2727,221,2022-12-17 06:37:40,2,99165,0,0
2728,674,2022-12-17 06:38:11,3,0,0,2
2729,223,2022-12-17 06:38:43,3,0,0,1
2730,920,2022-12-17 06:39:22,2,50477,0,0
2731,339,2022-12-17 06:40:05,2,58651,0,0
2732,341,2022-12-17 06:40:28,3,0,0,1
2733,481,2022-12-17 06:41:16,1,-83199,94452,0
2734,726,2022-12-17 06:41:48,1,-51094,61251,0
2735,139,2022-12-17 06:41:50,2,32962,0,0
2736,204,2022-12-17 06:41:57,3,0,0,2
2737,42,2022-12-17 06:42:36,3,0,0,2
2738,115,2022-12-17 06:43:14,1,-52358,52642,0
2739,837,2022-12-17 06:43:48,3,0,0,2
2740,953,2022-12-17 06:43:59,3,0,0,2
2741,890,2022-12-17 06:44:39,3,0,0,2
2742,299,2022-12-17 06:44:41,3,0,0,1
2743,766,2022-12-17 06:44:51,2,50211,0,0
2744,674,2022-12-17 06:45:26,1,-39653,77506,0
2745,884,2022-12-17 06:45:27,1,-92714,77840,0
2746,146,2022-12-17 06:45:43,3,0,0,2
2747,945,2022-12-17 06:45:49,2,59018,0,0
2748,615,2022-12-17 06:46:14,1,-18994,57701,0
2749,11,2022-12-17 06:46:56,2,77573,0,0
2750,445,2022-12-17 06:47:44,1,-99190,85509,0
2751,834,2022-12-17 06:47:47,3,0,0,2
2752,12,2022-12-17 06:48:30,2,16694,0,0
2753,638,2022-12-17 06:49:15,1,-96515,88279,0
2754,722,2022-12-17 06:50:02,3,0,0,2
2755,413,2022-12-17 06:50:35,1,-75024,62372,0
2756,982,2022-12-17 06:50:47,3,0,0,1
2757,963,2022-12-17 06:50:51,1,-89668,74980,0
2758,299,2022-12-17 06:51:14,1,-12029,83423,0
2759,128,2022-12-17 06:51:24,3,0,0,2
2760,266,2022-12-17 06:51:33,1,-10337,10534,0
2761,409,2022-12-17 06:51:41,2,6535,0,0
2762,343,2022-12-17 06:52:08,1,-29336,85800,0
2763,294,2022-12-17 06:52:24,1,-43147,96779,0
2764,632,2022-12-17 06:53:06,1,-84178,3179,0
2765,741,2022-12-17 06:53:10,2,84725,0,0
2766,745,2022-12-17 06:53:37,2,86745,0,0
2767,657,2022-12-17 06:54:14,3,0,0,2
2768,119,2022-12-17 06:54:48,1,-92424,3089,0
2769,781,2022-12-17 06:55:30,3,0,0,2
2770,40,2022-12-17 06:56:10,3,0,0,2
2771,997,2022-12-17 06:56:39,3,0,0,2
2772,686,2022-12-17 06:56:55,3,0,0,1
2773,220,2022-12-17 06:57:35,2,44154,0,0
2774,527,2022-12-17 06:57:38,2,9951,0,0
2775,262,2022-12-17 06:58:08,1,-43335,38182,0
2776,692,2022-12-17 06:58:43,1,-30058,40970,0
2777,123,2022-12-17 06:58:52,3,0,0,2
2778,732,2022-12-17 06:59:01,3,0,0,1
2779,854,2022-12-17 06:59:31,2,62029,0,0
2780,177,2022-12-17 06:59:46,1,-67043,6744,0
2781,529,2022-12-17 07:00:21,2,62092,0,0
2782,858,2022-12-17 07:00:37,1,-4215,46924,0
2783,195,2022-12-17 07:00:46,1,-98787,29391,0
2784,191,2022-12-17 07:01:22,1,-86641,22118,0
2785,156,2022-12-17 07:01:26,1,-7131,21793,0
2786,548,2022-12-17 07:02:15,3,0,0,1
2787,957,2022-12-17 07:02:46,3,0,0,2
2788,305,2022-12-17 07:03:29,2,54434,0,0
2789,515,2022-12-17 07:04:01,2,80701,0,0
2790,94,2022-12-17 07:04:41,2,35654,0,0
2791,944,2022-12-17 07:05:07,2,47225,0,0
2792,141,2022-12-17 07:05:24,3,0,0,1
2793,579,2022-12-17 07:05:59,3,0,0,2
2794,814,2022-12-17 07:06:09,3,0,0,2
2795,943,2022-12-17 07:06:36,2,15105,0,0
2796,133,2022-12-17 07:07:22,2,15472,0,0
2797,392,2022-12-17 07:07:36,3,0,0,1
2798,606,2022-12-17 07:08:23,2,94559,0,0
2799,645,2022-12-17 07:08:41,1,-40449,81419,0
2800,244,2022-12-17 07:09:21,2,38829,0,0
2801,170,2022-12-17 07:10:02,2,2738,0,0
2802,399,2022-12-17 07:10:21,2,74011,0,0
2803,490,2022-12-17 07:10:24,3,0,0,1
2804,102,2022-12-17 07:10:37,1,-33894,74327,0
2805,18,2022-12-17 07:11:09,2,80359,0,0
2806,138,2022-12-17 07:11:10,2,57855,0,0
2807,422,2022-12-17 07:11:22,2,96468,0,0
2808,357,2022-12-17 07:12:12,2,78775,0,0
2809,824,2022-12-17 07:12:58,3,0,0,2
2810,78,2022-12-17 07:13:14,3,0,0,2
2811,737,2022-12-17 07:13:28,2,28702,0,0
2812,195,2022-12-17 07:13:53,3,0,0,1
2813,734,2022-12-17 07:14:01,1,-746,48106,0
2814,406,2022-12-17 07:14:49,1,-23811,17461,0
2815,21,2022-12-17 07:15:27,3,0,0,2
2816,170,2022-12-17 07:16:14,1,-67375,26410,0
2817,995,2022-12-17 07:16:29,1,-73254,260,0
2818,358,2022-12-17 07:17:14,1,-2868,99578,0
2819,939,2022-12-17 07:17:24,3,0,0,2
2820,401,2022-12-17 07:17:52,2,23704,0,0
2821,347,2022-12-17 07:18:28,1,-74286,26475,0
2822,553,2022-12-17 07:18:54,2,2602,0,0
2823,829,2022-12-17 07:19:18,1,-79024,86949,0
2824,747,2022-12-17 07:19:55,3,0,0,1
2825,28,2022-12-17 07:20:09,2,43343,0,0
2826,373,2022-12-17 07:20:15,1,-4614,87065,0
2827,944,2022-12-17 07:20:38,1,-9218,22738,0
2828,593,2022-12-17 07:20:43,3,0,0,2
2829,844,2022-12-17 07:21:19,1,-49214,8195,0
2830,668,2022-12-17 07:21:35,2,11266,0,0
2831,967,2022-12-17 07:21:54,3,0,0,2
2832,383,2022-12-17 07:21:58,3,0,0,2
2833,690,2022-12-17 07:22:46,2,43050,0,0
2834,865,2022-12-17 07:23:27,1,-39034,36150,0
2835,259,2022-12-17 07:24:05,3,0,0,2
2836,129,2022-12-17 07:24:21,3,0,0,1
2837,288,2022-12-17 07:24:33,3,0,0,1
2838,742,2022-12-17 07:25:08,3,0,0,1
2839,765,2022-12-17 07:25:51,3,0,0,1
2840,423,2022-12-17 07:26:09,3,0,0,2
2841,302,2022-12-17 07:26:53,2,95813,0,0
2842,937,2022-12-17 07:27:36,1,-41445,42074,0
2843,128,2022-12-17 07:28:02,1,-50629,34534,0
2844,748,2022-12-17 07:28:21,3,0,0,1
2845,79,2022-12-17 07:28:31,1,-39413,99851,0
2846,333,2022-12-17 07:28:35,1,-80924,90218,0
2847,783,2022-12-17 07:28:54,1,-5251,29878,0
2848,489,2022-12-17 07:29:18,3,0,0,2
2849,701,2022-12-17 07:29:57,2,22614,0,0
2850,794,2022-12-17 07:30:24,2,46562,0,0
2851,898,2022-12-17 07:30:47,3,0,0,1
2852,542,2022-12-17 07:31:29,1,-97602,14058,0
2853,321,2022-12-17 07:32:15,2,17025,0,0
2854,244,2022-12-17 07:32:33,1,-60022,84090,0
2855,394,2022-12-17 07:32:41,2,30048,0,0
2856,627,2022-12-17 07:33:06,2,77591,0,0
2857,602,2022-12-17 07:33:34,2,93168,0,0
2858,276,2022-12-17 07:34:11,2,5529,0,0
2859,856,2022-12-17 07:34:12,3,0,0,2
2860,274,2022-12-17 07:34:27,3,0,0,2
2861,442,2022-12-17 07:34:35,2,53267,0,0
2862,24,2022-12-17 07:34:58,3,0,0,1
2863,623,2022-12-17 07:35:03,2,28154,0,0
2864,779,2022-12-17 07:35:20,3,0,0,1
2865,512,2022-12-17 07:36:07,3,0,0,2
2866,472,2022-12-17 07:36:17,3,0,0,2
2867,673,2022-12-17 07:37:00,3,0,0,2
2868,329,2022-12-17 07:37:21,1,-61255,86879,0
2869,614,2022-12-17 07:37:30,3,0,0,2
2870,191,2022-12-17 07:37:53,3,0,0,2
2871,26,2022-12-17 07:38:43,3,0,0,1
2872,176,2022-12-17 07:39:11,1,-82131,42791,0
